Player,Pos,Team,G,REC,YDS,YDSG,AVG,LNG,20+,40+,TD
Jonathan Krause,WR,PHI,2,2,11,5.5,5.5,7,0,0,0
Eric Weems,WR,ATL,16,1,11,0.7,11,11,0,0,0
Zach Zenner,FB,DET,6,2,11,1.8,5.5,7,0,0,0
Mike Iupati,G,ARI,13,1,10,0.8,10,10,0,0,0
Cordarrelle Patterson,WR,MIN,16,2,10,0.6,5,9,0,0,0
Jacquizz Rodgers,RB,CHI,5,1,10,2,10,10,0,0,0
Scott Simonson,TE,CAR,9,1,10,1.1,10,10,0,0,0
Matt Spaeth,TE,PIT,13,2,10,0.8,5,6,0,0,0
Ben Edwards,WR,NYG,2,1,9,4.5,9,9,0,0,0
Ryan Tannehill,QB,MIA,16,1,9,0.6,9,9,0,0,0
Tre McBride,WR,TEN,7,2,8,1.1,4,7,0,0,1
Rod Streater,WR,OAK,1,1,8,8,8,8,0,0,0
Robert Turbin,RB,CLE,3,2,8,2.7,4,7,0,0,0
Kasen Williams,WR,SEA,2,1,8,4,8,8,0,0,0
E.J. Bibbs,TE,CLE,7,1,7,1,7,7,0,0,0
Kendall Lamm,T,HOU,15,1,7,0.5,7,7,0,0,0
Khari Lee,TE,CHI,16,1,7,0.4,7,7,0,0,0
Bernard Pierce,RB,JAC,7,3,7,1,2.3,6,0,0,0
Will Tukuafu,FB,SEA,14,1,7,0.5,7,7,0,0,1
Andre Williams,RB,NYG,16,1,7,0.4,7,7,0,0,0
Chris Harper,WR,NE,5,1,6,1.2,6,6,0,0,0
Rob Housler,TE,CLE,6,1,6,1,6,6,0,0,0
Nic Jacobs,TE,JAC,11,1,6,0.5,6,6,0,0,0
Brian Parker,TE,KC,9,1,6,0.7,6,6,0,0,0
Rod Smith,RB,DAL,10,1,6,0.6,6,6,0,0,0
Brittan Golden,WR,ARI,14,1,5,0.4,5,5,0,0,0
Spencer Ware,RB,KC,11,6,5,0.5,0.8,5,0,0,0
Seyi Ajirotutu,WR,PHI,13,1,4,0.3,4,4,0,0,0
Tyler Clutts,FB,DAL,16,1,4,0.2,4,4,0,0,0
Jonas Gray,RB,JAC,2,1,4,2,4,4,0,0,0
David Johnson,TE,SD,16,1,4,0.2,4,4,0,0,0
Brian Leonhardt,TE,SF,4,1,4,1,4,4,0,0,0
Tyrod Taylor,QB,BUF,14,1,4,0.3,4,4,0,0,0
Stepfan Taylor,RB,ARI,16,1,4,0.2,4,4,0,0,0
C.J. Uzomah,TE,CIN,5,1,4,0.8,4,4,0,0,0
Donald Penn,T,OAK,16,1,3,0.2,3,3,0,0,0
Travaris Cadet,RB,NE,1,1,2,2,2,2,0,0,0
MarQueis Gray,TE,BUF,4,1,2,0.5,2,2,0,0,0
Terrence Magee,RB,BAL,4,1,2,0.5,2,2,0,0,0
Christine Michael,RB,DAL,5,1,2,0.4,2,2,0,0,0
Matthew Mulligan,TE,BUF,12,1,2,0.2,2,2,0,0,0
Asante Cleveland,TE,NE,4,1,1,0.2,1,1,0,0,0
Shaun Draughn,RB,CLE,5,2,1,0.2,0.5,2,0,0,0
Derrick Coleman,FB,SEA,14,1,0,0,0,0,0,0,0
Geoff Swaim,TE,DAL,4,1,0,0,0,0,0,0,0
Malcolm Brown,RB,STL,1,1,-2,-2,-2,-2,0,0,0
David Cobb,RB,TEN,7,1,-2,-0.3,-2,-2,0,0,0
Stevan Ridley,RB,NYJ,8,4,-2,-0.2,-0.5,3,0,0,0
Wesley Johnson,C,NYJ,10,1,-5,-0.5,-5,-5,0,0,0
Matthew Stafford,QB,DET,16,1,-6,-0.4,-6,-6,0,0,0
Cierre Wood,RB,BUF,2,1,-6,-3,-6,-6,0,0,0
Ereck Flowers,T,NYG,15,1,-11,-0.7,-11,-11,0,0,0
